;;;;;;;;;;x,,,
EVTOPTB833A;他们是未来的力量;;;;;;;;;;X,,,
EVTNAME834;民不思战;;;;;;;;;;X,,,
EVTDESC834;国家承平日久，对于当前的天下局\n势几乎到了麻痹的程度，这令人感\n到震惊，似乎没有什么人对当前的\n战争有兴趣. ;;;;;;;;;;X,,,
EVTOPTB834A;国家危矣. ;;;;;;;;;;X,,,
EVTNAME835;反抗劳逸;;;;;;;;;;X,,,
EVTDESC835;为了面对可能到来的战争，君王下\n令修缮都城的城墙，这需要大量的\n农民进行劳役工作，由于负责的大\n夫手段激烈，这引起了地方农民的\n强烈反抗. ;;;;;;;;;;X,,,
EVTOPTB835A;王命不可违;;;;;;;;;;X,,,
EVTNAME836;固若金汤;;;;;;;;;;X,,,
EVTDESC836;尽管遇到了一些困难，我们都城的\n修缮最终取得了成功，现在整个都\n城固若金汤，工程师可以去边境从\n事新的修建工作了. ;;;;;;;;;;X,,,
EVTOPTB836A;派他前往合适之地;;;;;;;;;;X,,,
EVTNAME837;水军裁员;;;;;;;;;;X,,,
EVTDESC837;由于国家边界的变化，目前水军的\n存在已经失去了其主要价值，地方\n长官申请裁撤部分部队，者得到了\n批准，同时这也意味着我国将不再\n向水军继续投资. ;;;;;;;;;;X,,,
EVTOPTB837A;与时俱进;;;;;;;;;;X,,,
EVTNAME838;舟船荒置;;;;;;;;;;X,,,
EVTDESC838;长期缺乏训练的水军实际上处于半\n废弃状态，我国目前严重缺少水军\n领导人物，而且这种趋势还在继续! ;;;;;;;;;;X,,,
EVTOPTB838A;想办法改变！;;;;;;;;;;X,,,
EVTNAME839;三军上卿;;;;;;;;;;X,,,
EVTDESC839;这场战争中的英雄人物正赶往都城\n接受奖赏，他作战勇猛，所向无前，\n曾经率领极为劣势的部队击溃了敌\n军主力军团. ;;;;;;;;;;X,,,
EVTOPTB839A;让他训练中央部队;;;;;;;;;;X,,,
EVTNAME840;陆军裁员;;;;;;;;;;X,,,
EVTDESC840;最近以来的偏向海外的政策, 导致\n了几个将军准备退休，偏袒的政策\n将使他们脸面无光，我国一度引以\n为傲的武备正在逐渐落后. ;;;;;;;;;;X,,
EVTOPTB840A;很遗憾;;;;;;;;;;X,,,
EVTNAME841;车马荒置 ;;;;;;;;;;X,,,
EVTDESC841;自从我们决定以牺牲陆军为代价实\n施倾向于移民的政策以来, 我国人\n民大量投入到开拓蛮夷之地的活动\n中来，曾经家家习武的风尚已经被\n遗忘了. ;;;;;;;;;;X,,
EVTOPTB841A;军队仍然要坚持训练;;;;;;;;;;X,,,
EVTNAME842;舟师统领;;;;;;;;;;X,,,
EVTDESC842;看起来水师的训练终于有些成果了，\n一位将领取得了卓越的战功，他出\n身渔民，这或许是他水性如此好的原\n因，不过要成为一个将军，这还\n与那远不够. ;;;;;;;;;;X,,,
EVTOPTB842A;提升他的官职;;;;;;;;;;X,,,
EVTNAME843;裁撤冗员;;;;;;;;;;X,,,
EVTDESC843;当前的新兵完全达不到新的训练标\n准，这样的军队在战争中就是等待\n屠戮的羔羊，我们需要剔除那些不\n合格者以提高部队训练水平.;;;;;;;;;;X,,,
EVTOPTB843A;这是必要的;;;;;;;;;;X,,,
EVTNAME844;军队哗变;;;;;;;;;;X,,,
EVTDESC844;由于裁军的举措失当，部分部队发\n生了哗变，一只戍边的部队在妖言\n的蛊惑下向首都进发，沿途劫掠了\n几个村庄. ;;;;;;;;;;X,,,
EVTOPTB844A;镇压他们！;;;;;;;;;;X,,,
EVTNAME845;一代名将;;;;;;;;;;X,,,
EVTDESC845;如果说在我国的历史中有什么人堪\n称名将的话，应该就是他了，卓越\n的指挥能力和无往不利的战果，似\n乎是时候提升他的官职了. ;;;;;;;;;;X,,,
EVTOPTB845A;国士难求. ;;;;;;;;;;X,,,
EVTNAME846;阅兵耻辱;;;;;;;;;;X,,,
EVTDESC846;在霸主会盟的阅兵仪式当中，我国\n缺乏训练的部队犯了严重的错误，\n这使得我国遗笑于诸侯，君主表达\n了他的愤怒，虽然这无助于挽回他\n的名声. ;;;;;;;;;;X,,,
EVTOPTB846A;重新训练军队;;;;;;;;;;X,,,
EVTNAME847;民不习战;;;;;;;;;;X,,,
EVTDESC847;缺乏训练的部队对于国家而言十分\n危险，虽然拥有大量的后备力量，\n但令人惊讶的是我们从中找不到多\n少具有足够军事技能的指挥官. ;;;;;;;;;;X,,,
EVTOPTB847A;到国外找找;;;;;;;;;;X,,,
EVTNAME848;地方武装;;;;;;;;;;X,,,
EVTDESC848;有人认为我们重视数量胜过质量的\n政策是愚蠢的, 这将导致领导力的\n衰退, 甚至使我军战力大减. 但他\n们是错误的. 我们新的大军已经打\n开了束缚军事思想发展的枷锁, 产\n生了比以往任何时候都更好的各级\n组织机构. ;;;;;;;;;;X
EVTOPTB848A;胜利的保证;;;;;;;;;;X,,,
EVTNAME872;政改不利;;;;;;;;;;X,,,
EVTDESC872;此次政治改革引起了超乎想象的反对，朝野上下对于如此改变祖宗成法的做法大为不满，从庙堂到边鄙，反对之声无处不在，更有甚者，一位公族成员公然宣布废除国君，自立为王。;;;;;;;;;;X,,,
EVTOPTA872;稳定局面！;;;;;;;;;;X,,,
EVTNAME873;政治危机;;;;;;;;;;X,,,
EVTDESC873;这样的政治该没有得到人们的拥护，虽然表面上还算平静，但小股叛军开始在国家各处爆发，而比这更令人担心的是，国内各个地区所隐藏的巨大危机。。。;;;;;;;;;;X,,,
EVTOPTA873;王命是从！;;;;;;;;;;X,,,
politics_crisis;政治危机;;;;;;;;;;X,,,
desc_politics_crisis;国家上下长期以来对于新政的不满，由此次改革触发，地方官员消极怠政，人民和贵族都颇为不满，国家危机重重。;;;;;;;;;;X,,,
the_mandate_of_heaven;天命所归;;;;;;;;;;X,,,
desc_the_mandate_of_heaven;天命所归;;;;;;;;;;X,,,
qianshengzhiguo1;百乘之国;;;;;;;;;;X,,,
desc_qianshengzhiguo1;百乘之国;;;;;;;;;;X,,,
qianshengzhiguo2;千乘之国;;;;;;;;;;X,,,
desc_qianshengzhiguo2;千乘之国;;;;;;;;;;X,,,
qianshengzhiguo3;万乘之国;;;;;;;;;;X,,,
desc_qianshengzhiguo3;万乘之国;;;;;;;;;;X,,,
EVTNAME4559;盐铁均输;;;;;;;;;;X,,,
EVTDESC4559;盐铁均输;;;;;;;;;;X,,,
EVTOPTA4559;盐铁均输;;;;;;;;;;X,,,
EVTNAME4561;重农抑商;;;;;;;;;;X,,,
EVTDESC4561;重农抑商;;;;;;;;;;X,,,
EVTOPTA4561;重农抑商;;;;;;;;;;X,,,
jianchagongjia_title;检查公家;;;;;;;;;;X,,,
jianchagongjia_desc;获得10日叛乱以查看;;;;;;;;;;X,,,
jianchashiqing_title;检查士卿;;;;;;;;;;X,,,
jianchashiqing_desc;获得10日叛乱以查看;;;;;;;;;;X,,,
jianchazhixia_title;检查直辖;;;;;;;;;;X,,,
jianchazhixia_desc;获得10日叛乱以查看;;;;;;;;;;X,,,
jianchaguoduzhixia_title;检查过度直辖;;;;;;;;;;X,,,
jianchaguoduzhixia_desc;获得10日叛乱以查看;;;;;;;;;;X,,,
touziguanxuekai_title;投资官学开;;;;;;;;;;X,,,
touziguanxuekai_desc;开满一年给4官员;;;;;;;;;;X,,,
touziguanxueguan_title;投资官学关;;;;;;;;;;X,,,
touziguanxueguan_desc;学一半的官员直接砍了;;;;;;;;;;X,,,
EVTNAME17504;投资官员;;;;;;;;;;X,,,
EVTDESC17504;稷下学宫，是世界上最早的官办高等学府，也是中国最早的社会科学院、政府智库。这也使得各国纷纷效仿，逐渐开始形成养士之风、用士之风
;;;;;;;;;;X,,,
EVTOPTA17504;继续投资;;;;;;;;;;X,,,
EVTOPTB17504;终止投资;;;;;;;;;;X,,,
mofeiwangtu_title;莫非王土;;;;;;;;;;X,,,
mofeiwangtu_desc;普天之下，莫非王土；率土之滨，莫非王臣。;;;;;;;;;;X,,,
