;;;;;;;;;;X,,,,
HAVE_A_PORT_IN;有港口在;;;;;;;;;;X,,,,
HAVE_NOT_A_PORT_IN;没有港口在;;;;;;;;;;X,,,,
HAVE_COUNTRY_FLAG;拥有国家标志;;;;;;;;;;X,,,,
HAVE_NOT_COUNTRY_FLAG;没有国家标志;;;;;;;;;;X,,,,
HAVE_PROVINCE_FLAG;拥有省份标志;;;;;;;;;;X,,,,
HAVE_NOT_PROVINCE_FLAG;没有省份标志;;;;;;;;;;X,,,,
HAVE_NOT_SIEGE_IN;没有围攻在;;;;;;;;;;X,,,,
HAVE_SIEGE_IN;被围攻在;;;;;;;;;;X,,,,
PROVINCE_DONT_PRODUCE;$PROVINCE$不生产$GOODS$;;;;;;;;;;X,,,,
PROVINCE_PRODUCE;$PROVINCE$生产$GOODS$;;;;;;;;;;X,,,,
IS_NOT_ON_THE_CONTINET;不在此大陆;;;;;;;;;;X,,,,
IS_ON_THE_CONTINET;在此大陆;;;;;;;;;;X,,,,
HAVE_LESS_ELECTORS_THAN;小霸数量少于;;;;;;;;;;X,,,,
HAVE_MORE_ELECTORS_THAN;小霸数量至少;;;;;;;;;;X,,,,
DONT_HAVE_A_X_INY;在$Y$里没有$X$;;;;;;;;;;X,,,,
HAVE_A_X_INY;在$Y$里有$X$;;;;;;;;;;X,,,,
NATIVE_SIZE_SMALLER_THAN;土著人口少于;;;;;;;;;;X,,,,
NATIVE_SIZE_LARGER_THAN;土著人口至少;;;;;;;;;;X,,,,
NATIVE_FEROCITY_SMALLER_THAN;土著狂暴程度低于;;;;;;;;;;X,,,,
NATIVE_FEROCITY_LARGER_THAN;土著狂暴程度至少;;;;;;;;;;X,,,,
NATIVE_HOSTILENESS_SMALLER_THAN;土著敌意低于;;;;;;;;;;X,,,,
NATIVE_HOSTILENESS_LARGER_THAN;土著敌意至少;;;;;;;;;;X,,,,
PURE_REVOLT_RISK_LOWER_THAN;基础叛乱风险低于;;;;;;;;;;X,,,,
PURE_REVOLT_RISK_HIGHER_THAN;基础叛乱风险至少;;;;;;;;;;X,,,,
REVOLT_RISK_LOWER_THAN;叛乱风险低于;;;;;;;;;;X,,,,
REVOLT_RISK_HIGHER_THAN;叛乱风险至少;;;;;;;;;;X,,,,
IS_NOT_PART_OF_HRE;不是中原的一部分;;;;;;;;;;X,,,,
IS_PART_OF_HRE;是中原的一部分;;;;;;;;;;X,,,,
CITY_SMALLER_THAN;城市人口少于;;;;;;;;;;X,,,,
CITY_LARGER_THAN;城市人口至少;;;;;;;;;;X,,,,
ADVISOR_HAS_LOWER_THAN;$ADVISORTYPE$臣属技能低于;;;;;;;;;;X,,,,
ADVISOR_HAS_HIGHER_SKILL_THAN;$ADVISORTYPE$臣属技能至少;;;;;;;;;;X,,,,
NUMBER_OF_DIPLOMAT_ENVYOS_LESS_THAN;使节数量少于;;;;;;;;;;X,,,,
NUMBER_OF_DIPLOMAT_ENVYOS_MORE_THAN;使节数量至少;;;;;;;;;;X,,,,
NUMBER_OF_SPY_ENVYOS_LESS_THAN;间谍数量少于;;;;;;;;;;X,,,,
NUMBER_OF_SPY_ENVYOS_GREATER_THAN;间谍数量至少;;;;;;;;;;X,,,,
NUMBER_OF_MISSIONARIES_ENVYOS_LESS_THAN;布道者数量少于;;;;;;;;;;X,,,,
NUMBER_OF_MISSIONARIES_ENVYOS_GREATER_THAN;布道者数量至少;;;;;;;;;;X,,,,
NUMBER_OF_COLONISTS_ENVYOS_LESS_THAN;拓荒队数量少于;;;;;;;;;;X,,,,
NUMBER_OF_COLONISTS_ENVYOS_GREATER_THAN;拓荒队数量至少;;;;;;;;;;X,,,,
NUMBER_OF_MERCHANTS_ENVYOS_LESS_THAN;商贾数量少于;;;;;;;;;;X,,,,
NUMBER_OF_MERCHANTS_ENVYOS_MORE_THAN;商贾数量至少;;;;;;;;;;X,,,,
HAVE_LESS_IDEAS_THAN;国家理念数量少于;;;;;;;;;;X,,,,
HAVE_MORE_IDEAS_THAN;国家理念数量至少;;;;;;;;;;X,,,,
IS_NOT_A_COLONY;不是新垦区;;;;;;;;;;X,,,,
IS_A_COLONY;是新垦区;;;;;;;;;;X,,,,
HAVE_NOT_KNOWLEDGE_OF;不知道;;;;;;;;;;X,,,,
HAVE_KNOWLEDGE_OF;知道;;;;;;;;;;X,,,,
IS_NOT_NEIGHBOUR_WITH;不接壤 同;;;;;;;;;;X,,,,
IS_NEIGHBOUR_WITH;接壤 同;;;;;;;;;;X,,,,
HAVE_LESS_UNITS_IN_THAN;在$PROVINCE$的单位数量少于;;;;;;;;;;X,,,,
HAVE_MORE_UNITS_IN_THAN;在$PROVINCE$的单位数量至少;;;;;;;;;;X,,,,
HAVE_MORE_THAN_GALLEYS_IN;在$PROVINCE$的浆帆船数量至少;;;;;;;;;;X,,,,
HAVE_LESS_THAN_GALLEYS_IN;在$PROVINCE$的浆帆船数量少于;;;;;;;;;;X,,,,
HAVE_MORE_THAN_INFANTRY_IN;在$PROVINCE$的步兵数量至少;;;;;;;;;;X,,,,
HAVE_LESS_THAN_INFANTRY_IN;在$PROVINCE$的步兵数量少于;;;;;;;;;;X,,,,
IS_AT_PEACE_WITH;处于和平状态 同;;;;;;;;;;X,,,,
IS_AT_WAR_WITH;处于战争状态 同;;;;;;;;;;X,,,,
HAS_NO_TRUCE_WITH;没有和约 同;;;;;;;;;;X,,,,
HAS_TRUCE_WITH;有和约 同;;;;;;;;;;X,,,,
HAVE_NO_UNITS_IN_BATTLE;在战斗中没有单位;;;;;;;;;;X,,,,
HAVE_UNITS_IN_BATTLE;在战斗中有单位;;;;;;;;;;X,,,,
HAVE_UNITS_IN_SIEGE;有单位在围城;;;;;;;;;;X,,,,
HAVE_NO_UNITS_IN_SIEGE;没有单位在围城;;;;;;;;;;X,,,,
HAVE_A_UNITS_WITH_A_LEADER;拥有有领导者的单位;;;;;;;;;;X,,,,
HAVE_NO_UNITS_WITH_A_LEADER;没有有领导者的单位;;;;;;;;;;X,,,,
ARE_NOT_PAPAL_CONTROLLER;不是天子控制者;;;;;;;;;;X,,,,
ARE_PAPAL_CONTROLLER;是周王室守护者;;;;;;;;;;X,,,,
HAVE_A_PERCENTAGE_OF_OVERSEAS_PROVINCE_LARGER_THAN;海外省份比例至少;;;;;;;;;;X,,,,
HAVE_A_PERCENTAGE_OF_OVERSEAS_PROVINCE_SMALLER_THAN;海外省份数量少于;;;;;;;;;;X,,,,
HAVE_LESS_MERCHANTS_THAN;活动的商贾少于;;;;;;;;;;X,,,,
HAVE_MORE_MERCHANTS_THAN;活动的商贾数量至少;;;;;;;;;;X,,,,
HAVE_TRADE_INCOME_LESS_THAN;贸易收入低于;;;;;;;;;;X,,,,
HAVE_TRADE_INCOME_MORE_THAN;贸易收入至少;;;;;;;;;;X,,,,
HAVE_GOLD_INCOME_LESS_THAN;黄金收入至少;;;;;;;;;;X,,,,
HAVE_GOLD_INCOME_MORE_THAN;黄金收入至少;;;;;;;;;;X,,,,
AT_PEACE_WITH_RELIGIOUS_ENEMY;跟所有宗教敌人处于和平状态;;;;;;;;;;X,,,,
AT_WAR_WITH_RELIGIOUS_ENEMY;跟宗教敌人处于战争状态;;;;;;;;;;X,,,,
HAVE_NO_BORDER_WITH_RELIGIOUS_ENEMY;没有与宗教敌人接壤;;;;;;;;;;X,,,,
HAVE_BORDER_WITH_RELIGIOUS_ENEMY;与宗教敌人接壤;;;;;;;;;;X,,,,
HAVE_NO_EMPTY_ADJACENT_PROVINCE;没有空白的邻接省份;;;;;;;;;;X,,,,
HAVE_EMPTY_ADJACENT_PROVINCE;有空白的邻接省份;;;;;;;;;;X,,,,
HAVE_NOT_THE_LEADER;没有领导者;;;;;;;;;;X,,,,
HAVE_THE_LEADER;有领导者;;;;;;;;;;X,,,,
HAVE_LESS_COLONIES_THAN;新垦区数量少于;;;;;;;;;;X,,,,
HAVE_MORE_COLONIES_THAN;新垦区数量至少;;;;;;;;;;X,,,,
CANT_CREATE_VASSAL;不能创建附庸国;;;;;;;;;;X,,,,
CAN_CREATE_VASSAL;可以创建附庸国;;;;;;;;;;X,,,,
IS_NOT_A_POSSIBLE_VASSAL;不是可能的附庸国;;;;;;;;;;X,,,,
IS_A_POSSIBLE_VASSAL;是可能的附庸国;;;;;;;;;;X,,,,
IS_NOT_VASSAL_OF;不附庸于;;;;;;;;;;X,,,,
IS_VASSAL_OF;附庸于;;;;;;;;;;X,,,,
HAVE_N0T_ALLIANCE_WITH;没有联盟同;;;;;;;;;;X,,,,
HAVE_ALLIANCE_WITH;联盟同;;;;;;;;;;X,,,,
HAVE_N0T_ROYAL_MARRIAGE_WITH;没有王室联姻同;;;;;;;;;;X,,,,
HAVE_ROYAL_MARRIAGE_WITH;王室联姻同;;;;;;;;;;X,,,,
HAVE_N0_TRADE_EMBARGO_BY;没有被禁运于;;;;;;;;;;X,,,,
HAVE_TRADE_EMBARGO_BY;被禁运于;;;;;;;;;;X,,,,
HAVE_JUNIOR_UNION_WITH;被联合统治于 ;;;;;;;;;;X,,,,
HAVE_NOT_JUNIOR_UNION_WITH;没有被联合统治于 ;;;;;;;;;;X,,,,
HAVE_NOT_SENIOR_UNION_WITH;统治者没有执政在;;;;;;;;;;X,,,,
HAVE_SENIOR_UNION_WITH;统治者也执政在;;;;;;;;;;X,,,,
PROVINCE_IS_NOT;省份ID不是;;;;;;;;;;X,,,,
PROVINCE_IS;省份ID是;;;;;;;;;;X,,,,
POLICIESTRIGGER_LESS_THAN;国策偏移少于;;;;;;;;;;X,,,,
POLICIESTRIGGER_GREATER_THAN;国策偏移至少;;;;;;;;;;X,,,,
HAVE_MORE_MANPOWER_THEN_MAXIMUM;最大人力至少;;;;;;;;;;X,,,,
HAVE_LESS_MANPOWER_THEN_MAXIMUM;最大人力少于;;;;;;;;;;X,,,,
IS_NOT_REVOLUTIONARY_TARGET;不是革命目标;;;;;;;;;;X,,,,
IS_REVOLUTIONARY_TARGET;是革命目标;;;;;;;;;;X,,,,
THERE_IS_NOT_A_REVOLUTIONARY_TARGET_IN_THE_WORLD;世界上没有革命目标;;;;;;;;;;X,,,,
THERE_IS_A_REVOLUTIONARY_TARGET_IN_THE_WORLD;世界上有革命目标;;;;;;;;;;X,,,,
THE_NUMBER_OF_REVOLT_FRACTION_IS_MORE_THAN;叛乱省份至少;;;;;;;;;;X,,,,
THE_NUMBER_OF_REVOLT_FRACTION_IS_LESS_THAN;叛乱省份少于;;;;;;;;;;X,,,,
TECHNOLOGY_LOWER_THAN;低于;;;;;;;;;;X,,,,
TECHNOLOGY_HIGHER_THAN;至少;;;;;;;;;;X,,,,
HAVE_NOT_ANY_NEIGHBOR;没有邻国;;;;;;;;;;X,,,,
HAVE_ANY_NEIGHBOR;至少有一个邻国;;;;;;;;;;X,,,,
HAVE_NOT_CASUS_BELLI_AGAINST;没有宣战借口对;;;;;;;;;;X,,,,
HAVE_CASUS_BELLI_AGAINST;有宣战借口对;;;;;;;;;;X,,,,
IS_NOT_AI;不是AI ;;;;;;;;;;X,,,,
IS_AI;是AI ;;;;;;;;;;X,,,,
HAVE_MAX_MANPOWER_GREATER_THAN;最大人力少于;;;;;;;;;;X,,,,
HAVE_MAX_MANPOWER_LESS_THAN;最大人力至少;;;;;;;;;;X,,,,
THEN_NUMBER_OF_REVOLTS_ARE_LESS_THAN;叛军省份少于;;;;;;;;;;X,,,,
THEN_NUMBER_OF_REVOLTS_ARE_MORE_THAN;叛军省份至少;;;;;;;;;;X,,,,
OR_TRIGGER_STARTS;以下条件至少一个成立;;;;;;;;;;X,,,,
ADVISOR_HAVE_LOWER_SKILL_THAN;$ADVISORTYPE$臣属技能低于;;;;;;;;;;X,,,,
ADVISOR_HAVE_HIGHER_SKILL_THAN;$ADVISORTYPE$臣属技能至少;;;;;;;;;;X,,,,
NEIGHBOR_COUNTRY_STARTS;邻国;;;;;;;;;;X,,,,
TRIGGER_NUM;范围数量;;;;;;;;;;X,,,,
TRIGGER_ALLY;任意盟友;;;;;;;;;;X,,,,
TRIGGER_OWNER;省份拥有者;;;;;;;;;;X,,,,
TRIGGER_CONTROLLER;省份控制者;;;;;;;;;;X,,,,
TRIGGER_CAPITAL;首都;;;;;;;;;;X,,,,
TRIGGER_SEA_ZONE;外海;;;;;;;;;;X,,,,
TRIGGER_EMPEROR;霸主;;;;;;;;;;X,,,,
TRIGGER_REVOLUTION_TARGET;革命目标;;;;;;;;;;X,,,,
TRIGGER_THIS;这个;;;;;;;;;;X,,,,
TRIGGER_FROM;来自;;;;;;;;;;X,,,,
TRIGGER_LOCAL_ENEMY;当地敌人;;;;;;;;;;X,,,,
HAVE_NOT_RELIGION;宗教不是;;;;;;;;;;X,,,,
HAVE_RELIGION;宗教是;;;;;;;;;;X,,,,
HAVE_LESS_RELIGIONS_THAN;信仰该宗教省份少于;;;;;;;;;;X,,,,
HAVE_MORE_RELIGIONS_THAN;$RELIGION$在至少$NUM$个省份被信仰;;;;;;;;;;X,,,,
IS_BANKRUPT;破产了;;;;;;;;;;X,,,,
IS_NOT_BANKRUPT;没有破产;;;;;;;;;;X,,,,
CONFIRMBUILDTEXTLEDGER;你确定要在$PROVINCE$建设$BUILDING$? ;;;;;;;;;;X,,,,
DISCIPLINE_SHORT;你的军队当前纪律为$DISC$%;;;;;;;;;;X,,,,
DISCIPLINE_LONG;战术, 领导, 士气和装备在战斗中都非常重要, \n部队的纪律也是如此. 稳定的部队可以在敌人\n敌人的进攻面前保持阵型, 这使得他们在战斗\n中更加有效率. ;;;;;;;;;;X
RELIGION_CHANGE_PROVINCE_GOOD;在$DATE$这一天$PROVINCE$的异教徒们\n回归了正确的信仰. ;;;;;;;;;;X,,,,
RELIGION_CHANGE_PROVINCE_BAD;在$DATE$这一天$PROVINCE$的人们\n放弃了正确信仰而转信$RELIGION$. ;;;;;;;;;;X,,,,
NO_SHIPS_WHERE_CAPTURED;没有船只被俘获;;;;;;;;;;X,,,,
THE_FOLLOWING_SHIPS_WHERE_CAPTURED;下列船只被俘获:;;;;;;;;;;X,,,,
CAPITALMOVED_SETUP;当我们迁都时;;;;;;;;;;X,,,,
CAPITALMOVED_HEADER;迁都;;;;;;;;;;X,,,,
CAPITALMOVED_1; $COUNTRY$ ;;;;;;;;;;X,,,,
CAPITALMOVED_2;我们把首都迁移到了;;;;;;;;;;X,,,,
CAPITALMOVED_3;$PROVINCE$;;;;;;;;;;X,,,,
CAPITALMOVED_4; ;;;;;;;;;;X,,,,
CAPITALMOVED_5; ;;;;;;;;;;X,,,,
CAPITALMOVED_6; ;;;;;;;;;;X,,,,
CAPITALMOVED_LOG;我们把首都迁移到了$PROVINCE$. ;;;;;;;;;;X,,,,
CAPITALMOVED_BTN1;棒极了! ;;;;;;;;;;X,,,,
CAPITALMOVED_BTN2;棒极了! ;;;;;;;;;;X,,,,
CAPITALMOVED_BTN3;转到;;;;;;;;;;X,,,,
CAPITALMOVED_MAP; ;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_SETUP;当其他国家迁都;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_HEADER;迁都;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_1; $COUNTRY$ ;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_2;把首都迁移到了;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_3;$PROVINCE$;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_4; ;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_5; ;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_6; ;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_LOG; $COUNTRY$ 把首都迁移到了$PROVINCE$. ;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_BTN1;非常好! ;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_BTN2;非常好! ;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_BTN3;转到;;;;;;;;;;X,,,,
CAPITALMOVEDOTHER_MAP; ;;;;;;;;;;X,,,,
CCOT_NOT_OWNED;你只能在你拥有的省份创建贸易中心. ;;;;;;;;;;X,,,,
CCOT_NOT_CONTROLLED;你必须在创建贸易中心之前空控制这个省份. \n;;;;;;;;;;X,,,,
CCOT_SIEGE;如果省份正在被围攻就不能创建新的贸易中心. \n;;;;;;;;;;X,,,,
CCOT_NOT_COLONY;不可能在单纯的新垦区建立贸易中心. ;;;;;;;;;;X,,,,
CCOT_NOT_OURSPLIT;你不能从你自己拥有的贸易中心了分割新的贸\n易中心. ;;;;;;;;;;X,,,,
CCOT_ALREADY;这个省份已经是贸易中心了. ;;;;;;;;;;X,,,,
CCOT_MIN_VALUE;只有当连接到的中心足够富有才能分割出新的\n贸易中心. $WHO$的价值只有$CURRENT$, 它需要至少价值$VALUE$. ;;;;;;;;;;X,,,
CCOT_NOT_CASH;你需要至少$VALUE$来创建一个新的贸易中心. ;;;;;;;;;;X,,,,
CCOT_CREATE_COT;花费$VALUE$来在这个省份建立新的贸易中心. ;;;;;;;;;;X,,,,
CONFIRMCREATECOT;建立新的中心;;;;;;;;;;X,,,,
CONFIRMCREATECOTTEXT;在$PROV$建立新的贸易中心. ;;;;;;;;;;X,,,,
CCOT_COST;这将花费$AMOUNT$;;;;;;;;;;X,,,,
CONFIRMDESTROYCOT;摧毁贸易中心;;;;;;;;;;X,,,,
CONFIRMDESTROYCOTTEXT;摧毁在$PROV$的贸易中心;;;;;;;;;;X,,,,
DCOT_COST;我们将会失去$AMOUNT$声望;;;;;;;;;;X,,,,
DCOT_NOT_OWNED;你只能摧毁自己拥有的省份的贸易中心. ;;;;;;;;;;X,,,,
DCOT_NOT_CONTROLLED;在摧毁贸易中心前你必须控制这个省份. ;;;;;;;;;;X,,,,
DCOT_SIEGE;如果这个省份在被围攻就不能摧毁贸易中心. \n;;;;;;;;;;X,,,,
DCOT_ALREADY;这个省份没有贸易中心. ;;;;;;;;;;X,,,,
DCOT_MIN_VALUE;你只能摧毁足够穷的贸易中心. \n$WHO$的贸易额是$CURRENT$, \n它的贸易额必须低于$VALUE$. ;;;;;;;;;;X,,,
DCOT_DOIT;摧毁这个贸易中心;;;;;;;;;;X,,,,
CORE_IS_REVOLTER_CAPITAL;这是这个国家潜在的首都. ;;;;;;;;;;X,,,,
CORE_SAME_CULTURE;这个省份是相同的文化组群, 所以不会失去核\n心. ;;;;;;;;;;X,,,
TOLERANCE_SLIDER;这将影响信仰$RELIGION$的省份;;;;;;;;;;X,,,,
NO_SUCC_SEPARATE;王位继承权战争不能签订单独的和约. ;;;;;;;;;;X,,,,
HRE_DISMANTLE_EMPEROR;你必须控制来自 $COUNTRY$ 的霸主的首都, \n即$PROV$. ;;;;;;;;;;X,,,
HRE_DISMANTLE_ELECTORS;小霸 $COUNTRY$ 仍然是个独立的国家. ;;;;;;;;;;X,,,,
NOOPENMARKET;这个市场目前对我们的商人关闭. \n我们可以用外交或军事手段来打开它. ;;;;;;;;;;X,,,,
REVOLTRISK_EFFECT;$DIRECTION$ $VALUE$叛乱风险在$WHERE$. ;;;;;;;;;;X,,,,
LEDGER_CANT_BUILD_THIS_TECH;你当前的科技等级还不允许你修建这个建筑;;;;;;;;;;X,,,,
LEDGER_CANT_BUILD_THIS_FULL;已经在所有省份修建;;;;;;;;;;X,,,,
DO_NOT_HAVE_ADVISOR;没有臣属;;;;;;;;;;X,,,,
HAVE_ADVISOR;有臣属;;;;;;;;;;X,,,,
LEADER_ARRIVED_SETUP;当一个历史将领到达你的国家. ;;;;;;;;;;X,,,,
LEADER_ARRIVED_HEADER;将领到来. ;;;;;;;;;;X,,,,
LEADER_ARRIVED_1;$LEADERNAME$ ;;;;;;;;;;X,,,,
LEADER_ARRIVED_2;来到了我们的王庭, \n现在可以为我们的王国服务了. ;;;;;;;;;;X,,,
LEADER_ARRIVED_3; ;;;;;;;;;;X,,,,
LEADER_ARRIVED_4; ;;;;;;;;;;X,,,,
LEADER_ARRIVED_5; ;;;;;;;;;;X,,,,
LEADER_ARRIVED_6; ;;;;;;;;;;X,,,,
LEADER_ARRIVED_LOG;$LEADERNAME$已经到达. ;;;;;;;;;;X,,,,
LEADER_ARRIVED_BTN1;确定;;;;;;;;;;X,,,,
LEADER_ARRIVED_BTN2;确定;;;;;;;;;;X,,,,
LEADER_ARRIVED_BTN3;详细;;;;;;;;;;X,,,,
LEADER_ARRIVED_MAP; ;;;;;;;;;;X,,,,
HRE_CANT_EMPEROR;你是中原霸主, 不能解散华夏体系. ;;;;;;;;;;X,,,
LEDGER_OVERALL;总体;;;;;;;;;;X,,,,
MOVE_CAPITAL_CURRENT;这是你的首都, 尽全力保卫它. ;;;;;;;;;;X,,,
CANT_CANCEL_WITH_TRUCE;我们不能取消和约强迫的附属. ;;;;;;;;;;X,,,,
CONFIRMOVECAPITALTITLE;迁都;;;;;;;;;;X,,,,
HAVE_LESS_MANPOWERPERCENT_THAN;后备兵员比率少于;;;;;;;;;;X,,,,
HAVE_MORE_MANPOWERPERCENT_THAN;后备兵员比率至少;;;;;;;;;;X,,,,
THEIR_PRIMARY_CULTURE;他们的主流文化是$CULTURE$. \n$CULTURE$属于$GROUP$组群. ;;;;;;;;;;X,,,,
THEIR_SECONDARY_CULTURE;他们同样容忍下列文化:;;;;;;;;;;X,,,,
FROM_TECHNOLOGY;来自科技;;;;;;;;;;X,,,,
THEYGUARANT;他们保证了我们的独立, \n所以我们不能保证他们的独立. ;;;;;;;;;;X,,,
THEYWARN;他们警告了我们, \n所以我们不能警告他们. ;;;;;;;;;;X,,,
WCRD_GUA;我们已经保证了他们的独立. ;;;;;;;;;;X,,,,
WCRD_VAS;他们是我们的附属. ;;;;;;;;;;X,,,,
WCRD_WARNING;我们已经警告$WHO$不要发动战争. \n ;;;;;;;;;;X,,,,
CANCELMILACCDESC_NOPES_TROOPS;我们不能取消军事通行因为有军队在他们境内. ;;;;;;;;;;X,,,,
